,Artist,Album,style,genres,labels
220,Joy Orbison,Off Season _ Fuerza [HINF8679],"['Techno', 'Breaks']",['Electronic'],Hinge Finger
221,DJ Heartstring,Sensual Hits Volume 1,['Techno'],['Electronic'],Not On Label
223,DJ Heartstring,Sensual Hits Volume 3,['Techno'],['Electronic'],Not On Label
224,DJ Heartstring,Teenage Dreams,"['Trance', 'Hard Trance']",['Electronic'],Teenage Dreams
225,VA,Thick As Thieves,"['Techno', 'Experimental']",['Electronic'],TXTRL
226,Kuzma Palkin,Omnia Vanitas,"['Techno', 'Jungle', 'Minimal', 'Leftfield', 'Thug Rap']","['Electronic', 'Hip Hop']",Lowlife Cartel
227,Solotape,Omnia Vanitas,"['Techno', 'Jungle', 'Minimal', 'Leftfield', 'Thug Rap']","['Electronic', 'Hip Hop']",Lowlife Cartel
230,Slacker,Damage To Be Undone,"['Techno', 'Ambient', 'Jungle']",['Electronic'],Soft Raw
231,2Beast & Ko$te,Omnia Vanitas,"['Techno', 'Jungle', 'Minimal', 'Leftfield', 'Thug Rap']","['Electronic', 'Hip Hop']",Lowlife Cartel
232,Pawel's Bar,Pawel's Bar - Cantina,"['Dub', 'Downtempo', 'Leftfield', 'Future Jazz']",['Electronic'],OK SPIRIT
233,PML BEATZ,Pedra de 800 Kg,['Kuduro'],"['Electronic', 'Folk, World, & Country']",Príncipe
234,Yung Beef,Perreo de la Muerte 2,"['Trap', 'Reggaeton']","['Hip Hop', 'Latin']",La Vendicion
235,Commodo feat. JME,Shift,"['Grime', 'Dubstep']",['Electronic'],Deep Medi Musik
236,Ats,Slack,['Electro'],['Electronic'],Streetwise
237,Dogpatrol,SNKRX04,"['UK Garage', 'Bass Music']","['Electronic', 'Hip Hop']",Sneaker Social Club
238,wzrdryAV,Midnight Visions,"['Ambient', 'Dub Techno', 'Downtempo', 'Field Recording']",['Electronic'],Accidental Meetings
241,Branko + PEDRO,MPTS,['Bass Music'],['Electronic'],Enchufada
242,Debmaster,Crocodiles Homieees,"['Juke', 'Bass Music', 'Hip Hop', 'Instrumental']","['Electronic', 'Hip Hop']",Hakuna Kulala
243,Hypho & Rakay,Round Ere,['Bass Music'],['Electronic'],81
244,Franco Franco,Solo Fiori,[],['Hip Hop'],do you have peace?
245,Audrey,Spanka Clawz EP,"['Acid', 'Electro', 'Breaks', 'Techno']",['Electronic'],Scuffed Recordings
246,Nah Eeto & Sumgii,Wanawake,"['Hip Hop', 'Bass Music']","['Electronic', 'Hip Hop']",Swamp 81
247,Piezo,Piezo,['Bass Music'],['Electronic'],81
248,Piezo,ANSIA004,"['Techno', 'Broken Beat']",['Electronic'],Ansia
249,Pugilist,Blue 06,"['Breaks', 'Bass Music']",['Electronic'],Whities
250,Pugilist,Negative Space,"['Breaks', 'Dubstep', 'Techno']",['Electronic'],Of Paradise
251,Pugilist,Pugilist - Cha _ Syncopate,['Dubstep'],['Electronic'],Modern Hypnosis
254,Warehouse Rave,Soul Mass Transit System - Don't Hold Back EP,"['UK Garage', 'Speed Garage', 'Bassline']",['Electronic'],Warehouse Rave
255,Andy Mac & Ossia,Soup Riddim _ Cado _ Linguine,"['Dub', 'Dancehall', 'House']","['Electronic', 'Reggae']",No Corner
256,JoeFarr,Spectate EP,['Techno'],['Electronic'],Leisure System
257,Sockethead,SPORTS 3,"['Experimental', 'Abstract', 'Breaks', 'Leftfield', 'Grime', 'Illbient', 'Ambient']",['Electronic'],Youth
258,Anunaku,Stargate EP,"['Breakbeat', 'Techno']",['Electronic'],3024
260,Bicycle Ride,STAY FAST VOL. 1,"['Ragtime', 'Dixieland', 'Swing', 'Big Band', 'Bop', 'Boogie Woogie', 'Dark Jazz', 'Delta Blues', 'Chicago Blues', 'Electric Blues', 'Memphis Blues', 'Rhythm & Blues']","['Jazz', 'Blues']",Membran
261,SKREAM,Unreleased Classics Vol.1 2003 - 2003_,['Dubstep'],['Electronic'],Not On Label (Skream Self-released)
262,King Doudou,SURRENDER,['Dancehall'],"['Electronic', 'Reggae']",Not On Label
275,Glances,Stay There EP,"['Techno', 'Leftfield']",['Electronic'],Scuffed Recordings
276,XXIII,XXIII __ 150,['Baroque'],['Classical'],Phonotechnik Boesel + Oswald
278,XXIII,XXIII __ VOLUME 3,"['Breakbeat', 'Hardcore', 'Techno']",['Electronic'],R & R Record Review
279,XXIII,XXIII __ VOLUME 5,['Renaissance'],['Classical'],Brilliant Classics
280,XXIII,XXIII __ VOLUME 6,['Experimental'],['Electronic'],Kirigirisu Recordings
281,XXIII,XXIII __ VOLUME 7,"['Field Recording', 'Noise']","['Electronic', 'Non-Music']",(11.5)2 Anti-Music
282,XXIII,XXIII __ VOLUME 8,"['Noise', 'Field Recording', 'Lo-Fi', 'Free Improvisation', 'Dark Ambient', 'Abstract', 'Experimental']","['Electronic', 'Jazz', 'Rock', 'Non-Music']",Autonomous Individuals Network
283,Blade,Evil Forces EP,['Drum n Bass'],['Electronic'],Vibez '93
284,Coco Bryce,Coco & The Cat Return (CITB007),['Jungle'],['Electronic'],Cat In The Bag
286,Forest Drive West,Jungle Crack EP,"['Drum n Bass', 'Jungle']",['Electronic'],Rupture London
287,Forest Drive West,Persistence Of Memory,"['Techno', 'Drum n Bass']",['Electronic'],Hidden Hawaii
288,Forest Drive West,Set Free,"['Drum n Bass', 'Jungle']",['Electronic'],Rupture London
289,Forest Drive West,Dualism EP,"['Dub Techno', 'Techno']",['Electronic'],Livity Sound
290,Forest Drive West,Blue 05,"['Experimental', 'Techno']",['Electronic'],Whities
291,Forest Drive West,Static _ Escape,['Techno'],['Electronic'],Livity Sound
292,Forest Drive West,Apparitions,"['Deep Techno', 'Ambient']",['Electronic'],Livity Sound
293,Forest Drive West,System _ Show Them,['Techno'],['Electronic'],Dnuos Ytivil
294,Forest Drive West,Terminus - EP,"['Techno', 'Drum n Bass']",['Electronic'],R & S Records
296,Weird Weather,Succulents EP,"['Industrial', 'Dub', 'Experimental', 'Leftfield']",['Electronic'],LASH00
298,Locked Club,Svoboda EP,"['Electro', 'Techno']",['Electronic'],PRIVATE PERSONS
299,ZULI,Bionic Ahmed (UIQ0002),"['Abstract', 'Grime', 'Techno', 'Jungle', 'UK Garage']",['Electronic'],UIQ
300,Al Wootton,Every Knee Shall Bow _ Every Tongue Confess,"['Dub', 'Dub Techno']","['Electronic', 'Reggae']",ZamZam Sounds
301,Babe Roots,Babe Roots LP,"['Dub', 'Dub Techno']","['Electronic', 'Reggae']",Linear Movement
302,Babe Roots,MUSIC MISSION EP,"['Latin', 'Hi NRG', 'Italo-Disco', 'Pop Rap', 'Disco', 'Techno', 'Euro House', 'House', 'Electro', 'Synth-pop', 'Funk']","['Electronic', 'Hip Hop', 'Funk / Soul']",Blanco Y Negro (2)
304,Beneath,Numbers Talk EP,"['Dub', 'Dub Techno']",['Electronic'],Livity Sound
305,Beneath,Beneath - Seeus _ Ovaride,"['Tribal', 'Techno']",['Electronic'],Hotline Recordings
306,Gombeen & Doygen,D'Americana _ Auto-Lies,"['Dub Techno', 'Abstract']",['Electronic'],Wah Wah Wino
307,Front De Cadeaux,Supreme Rallentato Volume 1,"['House', 'Tech House', 'Dub']",['Electronic'],Not On Label (Front De Cadeaux Self-released)
308,Front De Cadeaux,Supreme Rallentato Volume 2,"['House', 'Tech House', 'Dub']",['Electronic'],Not On Label (Front De Cadeaux Self-released)
309,Front De Cadeaux,SUPREME RALLENTATO VOLUME 4,"['House', 'Tech House', 'Dub']",['Electronic'],Not On Label (Front De Cadeaux Self-released)
311,Shifted,Telic,['Techno'],['Electronic'],Our Circula Sound
312,Agrippa,Mygraine Urgraine _ Harbour Run,"['Grime', 'Leftfield', 'Techno']",['Electronic'],Version (2)
313,Argo,Nooo,['Dubstep'],['Electronic'],Artikal Music UK
314,Commodo,Commodo - F_ck Mountain _ Good Grief,['Dubstep'],['Electronic'],Hotline Recordings
315,Commodo,Shift,"['Grime', 'Dubstep']",['Electronic'],Deep Medi Musik
316,Compa,Take Control,"['Dubstep', 'Grime']",['Electronic'],Artikal Music UK
317,Yandrel,TEMPO,"['Favela Funk', 'Hyperpop']","['Electronic', 'Hip Hop']",Not On Label (Yandrel Self-released)
318,"Yandrel, A-PAR",TEMPO,"['Favela Funk', 'Hyperpop']","['Electronic', 'Hip Hop']",Not On Label (Yandrel Self-released)
319,EVA808,WPR021 - Oyuki EP,"['Dubstep', 'Grime']",['Electronic'],White Peach
320,"Yandrel, KARAN!",TEMPO,"['Favela Funk', 'Hyperpop']","['Electronic', 'Hip Hop']",Not On Label (Yandrel Self-released)
321,"Yandrel, rensgo",TEMPO,"['Favela Funk', 'Hyperpop']","['Electronic', 'Hip Hop']",Not On Label (Yandrel Self-released)
322,PAWSA,TOO COOL TO BE CARELESS,['House'],['Electronic'],PAWZ
324,Hebbe,Down Town Dub _ Tumble,['Dubstep'],['Electronic'],System Music (2)
325,"Yandrel, TToten",TEMPO,"['Favela Funk', 'Hyperpop']","['Electronic', 'Hip Hop']",Not On Label (Yandrel Self-released)
326,"Yandrel, Adame DJ",TEMPO,"['Favela Funk', 'Hyperpop']","['Electronic', 'Hip Hop']",Not On Label (Yandrel Self-released)
327,JOSI DEVIL,_JD'S WOURLD_ 002,['Dubstep'],['Electronic'],Homemade Soundsystem
328,Kahn,Dread_ Dubkasm Versions,"['Dub', 'Dubstep']",['Electronic'],Deep Medi Musik
329,Kahn,Illy _ Tehran,['Dubstep'],['Electronic'],Punch Drunk
330,Kahn,SYSTM035 - KAHN,['Dubstep'],['Electronic'],System Music (2)
331,Kahn,Dread,['Dubstep'],['Electronic'],Deep Medi Musik
333,Loefah,Disco Rekah _ All of a Sudden,['Dubstep'],['Electronic'],Deep Medi Musik
335,Coki,Disco Rekah _ All of a Sudden,['Dubstep'],['Electronic'],Deep Medi Musik
336,Mala,Changes _ Forgive,['Dubstep'],['Electronic'],Deep Medi Musik
337,Mala,Miracles _ New Life (Baby Paris),"['Dubstep', 'Dub']",['Electronic'],Deep Medi Musik
338,"Yandrel, Renzyx",TEMPO,"['Favela Funk', 'Hyperpop']","['Electronic', 'Hip Hop']",Not On Label (Yandrel Self-released)
339,"Yandrel, ELK_Music",TEMPO,"['Favela Funk', 'Hyperpop']","['Electronic', 'Hip Hop']",Not On Label (Yandrel Self-released)
340,"Yandrel, Haiik",TEMPO,"['Favela Funk', 'Hyperpop']","['Electronic', 'Hip Hop']",Not On Label (Yandrel Self-released)
342,Quartz,Alchemy Burn,['Dubstep'],['Electronic'],System Music (2)
343,Drax,The 3rd Decade,"['Techno', 'Acid']",['Electronic'],Perc Trax Limited
344,RSD,Punch Drunk 008,['Dubstep'],['Electronic'],Punch Drunk
346,Đ.K_,The Ancient Kingdom,"['Free Jazz', 'Avantgarde', 'Experimental']","['Electronic', 'Jazz', 'Rock']",Atavistic
347,slowthai,Runt,['Grime'],['Hip Hop'],Method Records (4)
348,Somah,Dark Arts,['Dubstep'],['Electronic'],Deep Medi Musik
351,Various,The Architects _ Volume One,['Dubstep'],['Electronic'],Artikal Music UK
353,Walton,Abyss EP,"['Grime', 'Techno', 'Dubstep']",['Electronic'],Tectonic
354,Walton,Taiko,"['Techno', 'Grime', 'UK Garage']",['Electronic'],Kaizen
355,Rakim,The Master,['Conscious'],['Hip Hop'],Universal Records
356,Autumns,Dyslexia Sound System,"['Dub', 'Post-Punk', 'Coldwave', 'Techno', 'Experimental']","['Electronic', 'Rock']",Touch Sensitive Records
357,Lost Trax,The Saturnian System,"['Electro', 'Acid', 'Techno']",['Electronic'],Delsin
359,DJ Seinfeld,Time Spent Away From U,['House'],['Electronic'],Lobster Fury
360,Sprawl + D'Arcangelo Remix,Time Tunnel,"['Electro', 'IDM', 'Techno', 'Breaks']",['Electronic'],Art-Aud
361,PinkPantheress,to hell with it,"['Drum n Bass', 'Dance-pop', 'UK Garage']","['Electronic', 'Pop']",Parlophone
362,Elgato,Tonight _ Blue,"['House', 'Minimal', 'Breakbeat']",['Electronic'],Hessle Audio
363,Holiday Inn Tropicantesimo,TORBIDO,"['New Wave', 'Noise', 'Lento Violento']",['Electronic'],Pescheria
364,Little Artist,CANCEL COPENHAGEN,"['Dub', 'Future Jazz']",['Electronic'],5 Gate Temple
365,Cop Envy,Total End,['Techno'],['Electronic'],Black Opal
367,Qant,Waiting Game EP,"['Drum n Bass', 'Jungle']",['Electronic'],Vibez '93
371,Dawl,Ultimate Damage,"['Breaks', 'Electro', 'Bleep']",['Electronic'],Fear Of Dog
372,Peverelist,Undulate _ Grit,['Techno'],['Electronic'],Livity Sound
373,Kowton,Utility,['Techno'],['Electronic'],Livity Sound
376,FLmm,Verluste EP,"['Industrial', 'Techno']",['Electronic'],Toxic Waste Buried
377,Caucenus,REZAS,['Experimental'],['Electronic'],XXIII
378,Unknown Artist,W.L.W.A.S.I.O.H. (K Lost Acid Dub),"['Acid', 'Acid House', 'Electro']",['Electronic'],Art-Aud
379,Clara! y Maoupa,Luna Nueva,"['Experimental', 'Reggaeton']","['Electronic', 'Latin']",Les Disques De La Bretagne
380,Sputnik One,Warm Body EP,['Techno'],['Electronic'],Well Street Records
381,Otik,Wetlands,['Techno'],['Electronic'],INTERGRADED
382,dentis,The Pintupi Nine EP,"['Industrial', 'Techno']",['Electronic'],Toxic Waste Buried
383,Identified Patient,Weeshuis Der Verloren Zielen EP,"['Techno', 'Acid']",['Electronic'],Pinkman
385,Facta,Dumb Hummer_All The Time [Livity Sound],"['Techno', 'Leftfield']",['Electronic'],Livity Sound
386,Neinzer,Whities 025,"['Techno', 'Abstract', 'Breakbeat', 'Ambient']",['Electronic'],Whities
387,Ago,Why Won't You,['Dubstep'],['Electronic'],Innamind Recordings
388,Mikael,Wildfire _ Lintumies,['Dubstep'],['Electronic'],Innamind Recordings
389,Ninja Exotic Machine,Wokatikitanku Ep,"['Tribal', 'Downtempo', 'Tribal House', 'Broken Beat']",['Electronic'],Pho Bho Records
391,Junior Loves,Yantlet _ Grain,['Dub'],"['Electronic', 'Reggae']",5 Gate Temple
392,Tzusing,東方不敗,"['Techno', 'EBM']",['Electronic'],L.I.E.S. Records
393,KELMAN DURAN,1804 KIDS,"['Experimental', 'Reggaeton']","['Electronic', 'Latin']",Hundebiss
394,John Beltran,Panacea,['Techno'],['Electronic'],Detroit Dancer
395,The Vision,Spectral Nomad,"['Techno', 'Minimal']",['Electronic'],Metroplex
396,Adlas,Headland,"['Dub Techno', 'Techno']",['Electronic'],Answer Code Request
397,Cybotron,Clear,['Electro'],"['Electronic', 'Hip Hop']",Fantasy
398,Significant Other,Postdrome EP,"['Broken Beat', 'Techno']",['Electronic'],Well Street Records
399,Significant Other,Oblivion,"['Techno', 'Experimental', 'Ambient']",['Electronic'],anno (2)
400,Louis The 4th,Half Sided Series 1,['Techno'],['Electronic'],Prima Materia
401,Fresko,Half Sided Series 1,['Techno'],['Electronic'],Prima Materia
402,The Hacker,Lost & Found EP,"['Electro', 'Techno']",['Electronic'],KLAKSON
403,The Hacker & Jensen Interceptor,Trigger Zone EP,['Electro'],['Electronic'],International Chrome
404,Jensen Interceptor,Tresor 30,"['Techno', 'Electro', 'House', 'Downtempo', 'Ambient']",['Electronic'],Tresor
405,Robert Armani,Classic,"['Techno', 'Ghetto']",['Electronic'],Dance Mania
406,Digital Domain,I Need Relief,"['Breakbeat', 'Hardcore', 'Techno']",['Electronic'],Rabbit City Records
407,2 Bad Mice,2 Bad Mice - Gone Too Soon EP,"['Breakbeat', 'Hardcore']",['Electronic'],Sneaker Social Club
408,Jensen Interceptor & Assembler Code,Kinematics,['Electro'],['Electronic'],Central Processing Unit
409,Jensen Interceptor & Assembler Code,Hyper Reality,['Electro'],['Electronic'],Cultivated Electronics
410,Jensen Interceptor & Assembler Code,6th Element,['Techno'],['Electronic'],Boysnoize Records
412,LEON VYNEHALL,Rosebud _ Black Dove,['House'],['Electronic'],Studio Ooze
413,Jam & Spoon,Tripomatic Fairytales 2001,"['Trance', 'Techno', 'Progressive Trance', 'Deep House']",['Electronic'],Black Hole Recordings
414,Borai & Denham Audio,Make Me _ No Good,"['Breakbeat', 'Hardcore']",['Electronic'],Higher Level Records
416,Mount Kimbie,Cold Spring Fault Less Youth,"['Leftfield', 'House', 'Breakbeat']",['Electronic'],Warp Records
417,Omar-S,The Best!,"['House', 'Deep House', 'Downtempo']",['Electronic'],FXHE Records
419,Two Shell,Access,['Techno'],['Electronic'],Livity Sound
420,Angel Rocket,AM003,['Techno'],['Electronic'],Accidental Meetings
421,Ansome,Penny & Pound EP,['Techno'],['Electronic'],Mord
422,Bambounou,033,['Techno'],['Electronic'],AD 93
423,Clouds,EDLX.046 Timeslip Roadmender EP,['Techno'],['Electronic'],Electric Deluxe
425,Hodge,HEK025,['Techno'],['Electronic'],Hemlock Recordings
426,Hodge,Hodge - Mind Games _ Flashback,['Techno'],['Electronic'],Hotline Recordings
427,Hodge,No Single Thing,"['Techno', 'Tribal']",['Electronic'],Livity Sound
429,Bruce,Sonder Somatic,['Techno'],['Electronic'],Hessle Audio
431,Manse,Cymbal Shudder,['Techno'],['Electronic'],MNS
432,Parris,Burr _ Blue,['Techno'],['Electronic'],Idle Hands
433,Parris,2 Vultures EP,"['Dub', 'Techno']",['Electronic'],The Trilogy Tapes
434,Parris,Polychrome Swim,"['Breakbeat', 'Dub Techno', 'Techno']",['Electronic'],The Trilogy Tapes
437,Bass,13 17,['Heavy Metal'],['Rock'],Vertigo
439,LSDXOXO,BODY MODS,"['Baltimore Club', 'Breaks', 'Ghetto House', 'Techno']",['Electronic'],Not On Label (LSDXOXO Self-released)
443,Petit Singe,Akash Ganga,"['Experimental', 'Tribal', 'Ambient']",['Electronic'],Haunter Records
445,La Zowi,Ama de Casa,['Trap'],['Hip Hop'],La Vendicion
446,Boofy,Climb Out Of Your Hiding Place # Your Sheds Too,['Dubstep'],['Electronic'],System Music (2)
447,Eomac,Bedouin Trax II,"['Experimental', 'Deconstructed Club', 'Techno']",['Electronic'],Not On Label (Eomac Self-released)
448,Svreca & Voices From The Lake,Between The Lines,['Techno'],['Electronic'],Spazio Disponibile
449,Giggs,Big Bad,[],['Hip Hop'],SN1 Records
451,Soundbwoy Killah,Come My Selector,"['Breakbeat', 'Garage House']",['Electronic'],Sneaker Social Club
452,Soundbwoy Killah,Halcyon Daze,"['Breakbeat', 'Ambient', 'Hardcore', 'Techno', 'House', 'UK Garage']",['Electronic'],Sneaker Social Club
454,Elijah Minnelli,Creamed Horn,"['Cumbia', 'Dub', 'Reggae', 'Folk']","['Electronic', 'Reggae', 'Latin', 'Folk, World, & Country']",Accidental Meetings
455,Anatolian Weapons,Anatolian Weapons _ LINJA - Split EP,"['Experimental', 'Downtempo', 'Tribal']",['Electronic'],Serenades
464,67,Lets Lurk,"['Grime', 'Trap', 'Drill']",['Hip Hop'],6ix 7even
466,LINJA,Anatolian Weapons _ LINJA - Split EP,"['Experimental', 'Downtempo', 'Tribal']",['Electronic'],Serenades
467,LINJA,Split,"['Experimental', 'Downtempo', 'Tribal']",['Electronic'],Serenades
468,Another Channel,Behind The Glow,"['Dub', 'Dub Techno']",['Electronic'],Moonshine Recordings
469,ASAP Mob,Cozy Tapes Vol. 1 - Friends,"['Hip Hop', 'Trap']",['Hip Hop'],Nasty World Records
470,Biome,Griddled,"['Dubstep', 'Grime', 'Techno']",['Electronic'],Kaizen
471,Boddika,Acid Jackson,"['Acid', 'Electro']",['Electronic'],Swamp 81
472,UnknownArtist,UnknownAlbum,['Harsh Noise Wall'],['Electronic'],Flea Market
474,Caski,Caski - Structures EP (4SEA002),"['UK Garage', 'Techno']",['Electronic'],4 Seasons Music
477,Dizzee Rascal,Pagans EP,['Grime'],"['Electronic', 'Hip Hop']",Dirtee Stank Recordings
485,Massacooramaan,Dead Long Time,['Ghetto'],['Electronic'],Fade To Mind
488,Mina,DL,"['Chanson', 'Ballad']",['Pop'],PDU
489,Veracocha,"Dream Dance, Vol. 88","['Trance', 'Progressive Trance', 'House', 'Hard Trance']",['Electronic'],Sony Music
